Artikeltext1;Gruppe;MwSt;vkNetto;vkBrutto
DPG Pfand EINWEG 0,15 - 1er 0,15 Euro;Pfand;19;0,15;0,18
DPG Pfand EINWEG 0,25 - 6er 1,50 Euro;Pfand;19;1,5;1,79
DPG Pfand Kiste Getränke 24er - 5,10€;Pfand;19;5,1;6,07
DPG Pfand Bierkiste 24er 3,42;Pfand;19;3,42;4,07
DPG Pfand Bierkiste 20er 3,10;Pfand;19;3,1;3,69
DPG Pfand Kiste 12er 2,46;Pfand;19;2,46;2,93
DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;Pfand;19;6;7,14
DPG Pfand Glas-Mehrweg 0,08 Euro;Pfand;19;0,08;0,1
DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;Pfand;19;3;3,57
Europalette 8,50€;Pfand;19;8,5;10,12
EUROPALETTE   7,50€;Pfand;19;7,5;8,93
Europalette 15,00 Euro;Pfand;19;15;17,85
DPG Pfand Bierkiste 28er - 3,74 Euro;Pfand;19;3,74;4,45
DPG Pfand Kiste Getränke 20er - 4,50 Euro;Pfand;19;4,5;5,36
DPG Pfand Kiste Getränke 6er - 2,40 Euro;Pfand;19;2,4;2,86
DPG Pfand Getränke 20er Kiste - 4,50 Euro;Pfand;19;4,5;5,36
DPG Pfand Kiste Getränke 12er - 3,30 Euro;Pfand;19;3,3;3,93
Grüne Klappkiste / Steigen - 3,86;Pfand;19;3,86;4,59
Europalette 10€;Pfand;19;0;0
EPS-186;Pfand;19;0;0
Einmalige Palette;Pfand;19;0;0
DPG Pfand MEHRWEG 0,25€;Pfand;19;0,25;0,3
Stellplatz;Pfand;19;0;0
Europaletten;Pfand;19;0;0
Chep Palette Blau;Pfand;19;0;0
Leergut  0,60€;Pfand;19;0,6;0,71
Leergut  0,90€;Pfand;19;0,9;1,07
Leergut  3,86€;Pfand;19;3,86;4,59
Sojakiste - Soja Kasasi;Pfand;19;10;11,9
Tüte;;19;0,1;0,12
DD - Paletten;Pfand;19;0;0
Evers  Palette;Pfand;19;0;0
Evers  Kiste;Pfand;19;0;0
Äquivalente  Palettenpositionen;Pfand;19;0;0
Leergut  0,36€;Pfand;19;0;0
Transport / Lieferung / Fracht;Lieferung/Fracht;19;0;0
Müllcontainer;;19;0;0
Kühlschrank;;19;0;0
Avocado Hass 5kg Kiste/Karton - 16 Stück;Obst;7;0;0
Hot Blood Ice Tea Pfirsisch 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Hot Blood Ice Tea Zitrone 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Hot Blood Ice Tea Wassermelone 0,33l Dose 24er Pack;Getränke;19;7,99;9,51
Hot Blood Gazoz 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Hot Blood Coffee Latte 0,33l Dose 24er Pack;Getränke;7;15,49;16,57
Z Mojito Energydrink 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Z Exotic Tropicana 033l Dose 24er Pack;Getränke;19;7,49;8,91
Z Multivitaminsaft 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Z Orange Juicy Dream 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Hot Blood Ice Tea Waldfrucht 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
Hot Blood Apfelschorle 0,33l Dose 24er Pack;Getränke;19;7,99;9,51
Hot Blood Energy Classic 0,25l Dose 24er Pack;Getränke;19;7,49;8,91
Hot Blood  Energy Pfirsich 0,25l Dosen 24er Pack;Getränke;19;7,49;8,91
Hot Blood  Energy Mango-Ananas 0,25l Dose 24er Pack;Getränke;19;7,49;8,91
BEY Ice Tea Pfirsich 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
BEY Ice Tea Zitrone 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
BEY Ice Tea Waldfrucht 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
BEY Gazoz 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
BEY Gazoz Zero 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
BEY Gazoz Kirsch 0,33l Dose 24er Pack;Getränke;19;7,49;8,91
YURT Natürliches Mineralwasser Still 0,5l Flasche 24er Pack;Getränke;19;3,99;4,75
YURT Natürliches Mineralwasser Spritzig 0,5l Flasche 24er Pack;Getränke;19;4,49;5,34
YURT Quellwasser Still 1,5l 6er Pack;Getränke;19;2,49;2,96
YURT Quellwasser Still 5l Flasche;Getränke;19;1,99;2,37
Coca-Cola 0,33l Dose 24er Pack;Getränke;19;9,99;11,89
Coke Zero 0,33l Dose 24er Pack;Getränke;19;9,99;11,89
Coca-Cola 0,2l Glasflasche 24er Kiste;Getränke;19;10,49;12,48
Coca-Cola 0,33l Glasflasche 24er Kiste;Getränke;19;14,99;17,84
SPRITE 0,33l Glasflasche 24er Kiste;Getränke;19;14,99;17,84
MEZZO MIX 0,33l Glasflasche 24er Kiste;Getränke;19;14,99;17,84
