Artikelnummer;Barcode;Artikeltext1;KoliBarcode;Artikelgruppe;Steuersatz;EKPreis;VKPreis;Lagerbestand;AktionNetto;AktionVon;AktionBis;Pfand;PfandID;Pfandartikel
1;;DPG Pfand EINWEG 0,15 - 1er 0,15 Euro;;Pfand;19;0,15;0,15;-1;0;19.05.2026;19.05.2026;;0;1
2;;DPG Pfand EINWEG 0,25 - 6er 1,50 Euro;;Pfand;19;0,25;1,5;26.067,00;0;18.05.2026;18.05.2026;;0;1
3;;DPG Pfand Kiste Getränke 24er - 5,10€;;Pfand;19;5,1;5,1;2.301,00;0;18.05.2026;18.05.2026;;0;1
4;;DPG Pfand Bierkiste 24er 3,42;;Pfand;19;3,42;3,42;1.075,00;0;21.05.2026;21.05.2026;;0;1
5;;DPG Pfand Bierkiste 20er 3,10;;Pfand;19;3,1;3,1;733;0;21.05.2026;21.05.2026;;0;1
6;;DPG Pfand Kiste 12er 2,46;;Pfand;19;2,46;2,46;16;0;21.05.2026;21.05.2026;;0;1
7;;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;;Pfand;19;6;6;602;0;21.05.2026;21.05.2026;;0;1
8;;DPG Pfand Glas-Mehrweg 0,08 Euro;;Pfand;19;0,08;0,08;0;0;21.05.2026;21.05.2026;;0;1
9;;DPG Pfand EINWEG 0,25 - 12er 3,00 Euro;;Pfand;19;3;3;1.215,00;0;22.05.2026;22.05.2026;;0;1
10;;Europalette 8,50€;;Pfand;19;8,5;8,5;40;0;18.05.2026;18.05.2026;;0;0
11;;EUROPALETTE   7,50€;;Pfand;19;7,5;7,5;256;0;18.05.2026;18.05.2026;;0;0
12;;Europalette 15,00 Euro;;Pfand;19;15;15;44;0;21.05.2026;21.05.2026;;0;1
13;;DPG Pfand Bierkiste 28er - 3,74 Euro;;Pfand;19;3,74;3,74;10;0;22.05.2026;22.05.2026;;0;1
14;;DPG Pfand Kiste Getränke 20er - 4,50 Euro;;Pfand;19;4,5;4,5;315;0;22.05.2026;22.05.2026;;0;0
15;;DPG Pfand Kiste Getränke 6er - 2,40 Euro;;Pfand;19;2,4;2,4;128;0;22.05.2026;22.05.2026;;0;1
16;;DPG Pfand Getränke 20er Kiste - 4,50 Euro;;Pfand;19;4,5;4,5;0;0;22.05.2026;22.05.2026;;0;1
17;;DPG Pfand Kiste Getränke 12er - 3,30 Euro;;Pfand;19;3,3;3,3;1.341,00;0;22.05.2026;22.05.2026;;0;1
18;;Grüne Klappkiste / Steigen - 3,86;;Pfand;19;3,86;3,86;211;0;02.06.2026;02.06.2026;;0;1
19;;Europalette 10€;;Pfand;19;10;0;32;0;02.06.2026;02.06.2026;;0;0
20;;EPS-186;;Pfand;19;3,86;0;56;0;02.06.2026;02.06.2026;;0;0
21;;Einmalige Palette;;Pfand;19;0;0;10;0;02.06.2026;02.06.2026;;0;0
22;;DPG Pfand MEHRWEG 0,25€;;Pfand;19;0,25;0,25;-262;0;02.06.2026;02.06.2026;;0;1
23;;Stellplatz;;Pfand;19;0;0;6.000,00;0;02.06.2026;02.06.2026;;0;0
24;;Europaletten;;Pfand;19;8;0;7.040,00;0;02.06.2026;02.06.2026;;0;0
25;;Chep Palette Blau;;Pfand;19;0;0;9;0;07.06.2026;07.06.2026;;0;0
26;;Leergut  0,60€;;Pfand;19;0,6;0,6;30;0;08.06.2026;08.06.2026;;0;0
27;;Leergut  0,90€;;Pfand;19;0,9;0,9;99;0;08.06.2026;08.06.2026;;0;0
28;;Leergut  3,86€;;Pfand;19;3,86;3,86;-41;0;08.06.2026;08.06.2026;;0;0
29;;Sojakiste - Soja Kasasi;;Pfand;19;10;10;-5;0;12.06.2026;12.06.2026;;0;0
30;;Tüte;;;19;0,01;0,1;0;0;18.06.2026;18.06.2026;;0;0
31;;DD - Paletten;;Pfand;19;6,5;0;0;0;18.06.2026;18.06.2026;;0;0
32;;Evers  Palette;;Pfand;19;0;0;1;0;01.07.2026;01.07.2026;;0;0
33;;Evers  Kiste;;Pfand;19;0;0;50;0;01.07.2026;01.07.2026;;0;0
34;;Äquivalente  Palettenpositionen;;Pfand;19;0;0;1;0;01.07.2026;01.07.2026;;0;0
35;;Leergut  0,36€;;Pfand;19;0,36;0;7;0;05.07.2026;05.07.2026;;0;0
50;;Transport / Lieferung / Fracht;;Lieferung/Fracht;19;2.913,50;0;5;0;25.05.2026;25.05.2026;;0;0
51;;Müllcontainer;;;19;431,98;0;1;0;14.06.2026;14.06.2026;;0;0
52;;Kühlschrank;;;19;0;0;3;0;16.06.2026;16.06.2026;;0;0
53;;PFAND Glasflasche 24x0,03 Euro - 0,72 Euro;;Pfand;19;0,72;0,72;119;0;10.07.2026;10.07.2026;;0;1
54;4383;REGAL- Regalboden/Regalfüße u.s.w.;4384;Pfand;19;0;0;199;0;10.07.2026;10.07.2026;;0;0
11000000;;Avocado Hass 5kg Kiste/Karton - 16 Stück;;Obst;7;2,5;0;62;0;27.05.2026;27.05.2026;;0;0
13000000;;Hot Blood Ice Tea Pfirsisch 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;45.193,00;7,49;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000001;;Hot Blood Ice Tea Zitrone 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.146,00;0;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000002;;Hot Blood Ice Tea Wassermelone 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,68;7,99;2.158,00;8,99;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000003;;Hot Blood Gazoz 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.151,00;0;18.05.2026;03.07.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000004;;Hot Blood Coffee Latte 0,33l Dose 24er Pack;4,26E+12;Getränke;7;14,4;15,49;2.875,00;15,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000005;;Z Mojito Energydrink 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.879,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000006;;Z Exotic Tropicana 033l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.160,00;7,49;29.06.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000007;;Z Multivitaminsaft 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.142,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000008;;Z Orange Juicy Dream 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;2.159,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000009;;Hot Blood Ice Tea Waldfrucht 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;1.195,00;0;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000010;;Hot Blood Apfelschorle 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,68;7,99;1.200,00;7,99;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000011;;Hot Blood Energy Classic 0,25l Dose 24er Pack;4,27E+12;Getränke;19;7,2;7,49;28.276,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000012;;Hot Blood  Energy Pfirsich 0,25l Dosen 24er Pack;4,26E+12;Getränke;19;7,2;7,49;1.440,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000013;;Hot Blood  Energy Mango-Ananas 0,25l Dose 24er Pack;4,27E+12;Getränke;19;7,2;7,49;1.439,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000014;;BEY Ice Tea Pfirsich 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;8.559,00;0;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000015;;BEY Ice Tea Zitrone 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;4.291,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000016;;BEY Ice Tea Waldfrucht 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;4.283,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000017;;BEY Gazoz 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;14.978,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
13000018;;BEY Gazoz Zero 0,33l Dose 24er Pack;4,26E+12;Getränke;19;7,2;7,49;6.411,00;7,49;18.05.2026;01.08.2026;DPG Pfand EINWEG 0,25 - 24er - 6,00 Euro;113;0
